Date,FTSE
29/11/2019,4122.01
02/12/2019,4090.04
03/12/2019,4024.19
04/12/2019,4043.62
05/12/2019,4021.54
06/12/2019,4076.53
09/12/2019,4073.5
10/12/2019,4059.32
11/12/2019,4055.91
12/12/2019,4087.47
13/12/2019,4148.97
16/12/2019,4239.98
17/12/2019,4235.02
18/12/2019,4241.28
19/12/2019,4256.75
20/12/2019,4261.05
23/12/2019,4285.9
24/12/2019,4294.61
27/12/2019,4303.15
30/12/2019,4272.09
31/12/2019,4249.57
02/01/2020,4285.97
03/01/2020,4290.29
06/01/2020,4260.71
07/01/2020,4262.43
08/01/2020,4256.79
09/01/2020,4267.27
10/01/2020,4259.91
13/01/2020,4278.83
14/01/2020,4282.37
15/01/2020,4290.42
16/01/2020,4275.36
17/01/2020,4311.06
20/01/2020,4298.98
21/01/2020,4276.59
22/01/2020,4259.13
23/01/2020,4221.72
24/01/2020,4265.71
27/01/2020,4169.21
28/01/2020,4205.53
29/01/2020,4208.09
30/01/2020,4154.81
31/01/2020,4105.14
03/02/2020,4124.48
04/02/2020,4186.74
05/02/2020,4209.3
06/02/2020,4221.47
07/02/2020,4201.25
10/02/2020,4191.83
11/02/2020,4221.45
12/02/2020,4242.69
13/02/2020,4200.32
14/02/2020,4184.27
17/02/2020,4196.72
18/02/2020,4167.88
19/02/2020,4208.61
20/02/2020,4199.66
21/02/2020,4181.51
24/02/2020,4044.14
25/02/2020,3965.9
26/02/2020,3974.21
27/02/2020,3831.35
28/02/2020,3715.6
02/03/2020,3749.23
03/03/2020,3791.53
04/03/2020,3838.93
05/03/2020,3773.5
06/03/2020,3640.96
09/03/2020,3369.2
10/03/2020,3366.61
11/03/2020,3320.63
12/03/2020,2968.38
13/03/2020,3023.1
16/03/2020,2882.19
17/03/2020,2934.94
18/03/2020,2804.29
19/03/2020,2831.4
20/03/2020,2875.26
23/03/2020,2766.23
24/03/2020,3013.67
25/03/2020,3148.26
26/03/2020,3226.52
27/03/2020,3063.7
30/03/2020,3083.7
31/03/2020,3150.14
01/04/2020,3030.24
02/04/2020,3038.48
03/04/2020,2996.97
06/04/2020,3098.7
07/04/2020,3181.01
08/04/2020,3178.44
09/04/2020,3273.6
14/04/2020,3238.74
15/04/2020,3123.81
16/04/2020,3139.19
17/04/2020,3229.21
20/04/2020,3240.03
21/04/2020,3145.76
22/04/2020,3212.42
23/04/2020,3245.49
24/04/2020,3207.25
27/04/2020,3260.22
28/04/2020,3323.66
29/04/2020,3414.97
30/04/2020,3302.47
01/05/2020,3227.82
04/05/2020,3216.87
05/05/2020,3266.18
06/05/2020,3264.49
07/05/2020,3311.71
11/05/2020,3314.26
12/05/2020,3336.58
13/05/2020,3284.39
14/05/2020,3192.76
15/05/2020,3228.51
18/05/2020,3363.56
19/05/2020,3345
20/05/2020,3376.84
21/05/2020,3353.28
22/05/2020,3343.49
26/05/2020,3396.18
27/05/2020,3438.88
28/05/2020,3480.16
29/05/2020,3403.98
01/06/2020,3453.71
